,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,company
26,28,Honda WRV i-VTEC,Kochi,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5.0,9.9,Honda
27,29,Toyota Innova 2.5,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102,7.0,4.0,Toyota
28,30,Renault Duster 110PS,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5.0,7.75,Renault
29,31,Toyota Corolla Altis,Delhi,2012,87615,Petrol,Manual,First,14.53,1798,138.1,5.0,6.75,Toyota
30,32,Mahindra Ssangyong Rexton,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696,184,7.0,12.5,Mahindra
31,33,Audi A6 2.7,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5.0,11.5,Audi
32,34,Volkswagen Vento 1.6,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5.0,6.98,Volkswagen
33,35,Maruti Wagon R,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061,64,5.0,1.85,Maruti
34,36,Maruti Vitara Brezza,Kochi,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5.0,8.63,Maruti
35,37,Mahindra KUV 100,Delhi,2017,52000,Petrol,Manual,First,18.15,1198,82,5.0,4.85,Mahindra
36,38,Mercedes-Benz M-Class ML,Pune,2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5.0,28.0,Mercedes-Benz
37,39,Volkswagen Polo Diesel,Chennai,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5.0,5.0,Volkswagen
38,40,Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5.0,1.25,Maruti
39,41,Tata Nano LX,Kochi,2014,19698,Petrol,Manual,First,25.4,624,37.5,4.0,1.53,Tata
40,42,Mahindra KUV 100,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198,77,6.0,5.58,Mahindra
41,43,Hyundai i20 Magna,Kochi,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5.0,4.74,Hyundai
42,44,Hyundai Elantra 2.0,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5.0,8.85,Hyundai
43,45,Toyota Corolla Altis,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5.0,10.11,Toyota
44,46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5.0,4.25,Hyundai
45,47,Toyota Innova Crysta,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7.0,10.95,Toyota
46,48,Hyundai Xcent 1.1,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120,71,5.0,3.85,Hyundai
47,49,Mahindra Thar CRDe,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498,105,6.0,5.5,Mahindra
48,50,Audi A4 2.0,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5.0,21.43,Audi
49,51,Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9,1248,74,5.0,4.25,Maruti
50,52,Maruti Swift Ldi,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248,75,5.0,3.3,Maruti
51,53,Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1248,74,5.0,3.85,Maruti
52,54,Hyundai Grand i10,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197,82,5.0,3.6,Hyundai
53,55,Volkswagen Vento 2013-2015,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5.0,3.99,Volkswagen
54,56,Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17,799,53.3,5.0,3.3,Renault
55,57,Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.07,Hyundai
56,58,Nissan X-Trail SLX,Hyderabad,2010,121812,Diesel,Automatic,First,9.49,1995,147.6,5.0,7.75,Nissan
57,59,Maruti Zen Estilo,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998,67.1,5.0,2.25,Maruti
58,60,Toyota Innova Crysta,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8.0,16.5,Toyota
59,61,Ford Figo Diesel,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399,68,5.0,2.75,Ford
60,62,Mercedes-Benz New C-Class,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796,186,5.0,26.7,Mercedes-Benz
61,63,Mercedes-Benz New C-Class,Pune,2011,65000,Diesel,Manual,Second,15.8,2148,170,5.0,10.0,Mercedes-Benz
62,64,Tata Indica V2,Chennai,2016,178000,Diesel,Manual,First,25.0,1396,69,5.0,2.5,Tata
63,65,Audi A4 2.0,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968,140,5.0,13.5,Audi
64,66,Honda City ZX,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497,78,5.0,1.85,Honda
65,67,Mercedes-Benz C-Class Progressive,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950,194,5.0,35.67,Mercedes-Benz
66,68,Maruti Ertiga SHVS,Pune,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7.0,8.15,Maruti
67,69,Hyundai Creta 1.4,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5.0,10.5,Hyundai
68,70,Porsche Cayenne 2009-2014,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806,500,5.0,14.5,Porsche
69,71,Mahindra XUV500 W8,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179,140,7.0,9.65,Mahindra
70,72,Hyundai i10 Sportz,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5.0,3.48,Hyundai
71,73,Nissan Terrano XV,Kochi,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5.0,6.92,Nissan
72,74,Honda Brio VX,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5.0,6.46,Honda
73,75,Audi A6 2.0,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5.0,29.5,Audi
74,77,Toyota Innova 2.0,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998,132,8.0,4.5,Toyota
75,78,Toyota Innova 2.5,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494,102,7.0,11.75,Toyota
76,80,Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248,74,5.0,3.75,Maruti
77,81,Tata Zest Revotron,Pune,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5.0,4.5,Tata
78,82,Honda Amaze SX,Kochi,2016,54944,Petrol,Manual,First,18.0,1198,86.7,5.0,4.82,Honda
79,83,Ford Figo Diesel,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399,68,5.0,2.8,Ford
80,84,Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5.0,3.11,Maruti
81,85,Honda City i,Delhi,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5.0,3.25,Honda
82,86,BMW 5 Series,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995,218,5.0,13.9,BMW
83,87,Hyundai i10 Sportz,Pune,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5.0,2.25,Hyundai
84,88,Hyundai Grand i10,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197,82,5.0,5.75,Hyundai
85,90,Honda Amaze SX,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5.0,5.0,Honda
86,91,Toyota Fortuner 4x2,Delhi,2014,107000,Diesel,Manual,First,13.0,2982,168.5,7.0,16.5,Toyota
87,92,Audi A6 2011-2015,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5.0,39.58,Audi
88,93,Ford Ecosport 1.5,Delhi,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5.0,5.5,Ford
89,94,Mahindra XUV500 W8,Delhi,2014,58000,Diesel,Manual,First,15.1,2179,140,7.0,8.1,Mahindra
90,95,Honda Amaze SX,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.5,Honda
91,96,Volkswagen Polo Diesel,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5.0,2.79,Volkswagen
92,97,Hyundai Verna Transform,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493,110,5.0,3.45,Hyundai
93,98,Maruti Wagon R,Bangalore,2016,62000,Petrol,Manual,First,18.9,998,67.1,5.0,4.45,Maruti
94,99,Volkswagen Polo Petrol,Delhi,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5.0,2.65,Volkswagen
95,100,Hyundai i20 1.4,Pune,2011,78958,Diesel,Manual,Second,23.0,1396,90,5.0,3.8,Hyundai
96,101,Hyundai i20 Asta,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5.0,4.65,Hyundai
97,102,Datsun GO Plus,Pune,2017,32851,Petrol,Manual,First,19.83,1198,67,7.0,3.95,Datsun
98,103,Audi A4 3.0,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5.0,9.8,Audi
99,104,Hyundai i20 2015-2017,Pune,2009,66000,Petrol,Manual,Second,17.0,1197,80,5.0,2.7,Hyundai
100,105,Maruti Omni 5,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796,35,5.0,2.41,Maruti
101,106,Toyota Etios Liva,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5.0,3.9,Toyota
102,107,Jaguar XF 3.0,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5.0,24.0,Jaguar
103,108,Mahindra XUV500 W8,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179,140,7.0,5.75,Mahindra
104,109,Hyundai Verna 1.6,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5.0,5.25,Hyundai
105,110,Toyota Innova Crysta,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7.0,19.25,Toyota
106,111,Maruti Eeco 5,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,73,5.0,3.91,Maruti
107,112,Tata Nano Twist,Bangalore,2014,25500,Petrol,Manual,First,25.4,624,37.5,4.0,2.15,Tata
108,113,BMW 3 Series,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,190,5.0,20.75,BMW
109,114,Honda Civic 2006-2010,Delhi,2010,71088,Petrol,Manual,First,13.5,1799,130,5.0,3.35,Honda
110,115,Toyota Innova 2.5,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7.0,11.11,Toyota
111,116,Volvo V40 Cross,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984,150,5.0,20.0,Volvo
112,117,Nissan Micra XV,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5.0,6.55,Nissan
113,118,BMW 5 Series,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497,215,5.0,7.0,BMW
114,119,Maruti Vitara Brezza,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5.0,7.5,Maruti
115,121,Mercedes-Benz B Class,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143,107.3,5.0,16.75,Mercedes-Benz
116,122,Hyundai Verna CRDi,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582,126.2,5.0,10.95,Hyundai
117,123,Maruti Wagon R,Pune,2011,43874,Petrol,Manual,First,18.9,998,67.1,5.0,2.45,Maruti
118,124,Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4.0,3.23,Tata
119,125,Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179,120,8.0,7.75,Mahindra
120,126,Mercedes-Benz New C-Class,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796,178,5.0,9.35,Mercedes-Benz
121,128,Honda CR-V 2.4,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354,152,5.0,5.25,Honda
122,129,Volkswagen Vento 1.5,Pune,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5.0,7.25,Volkswagen
123,130,Maruti Ciaz VXi,Kochi,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5.0,7.47,Maruti
124,131,Mahindra XUV500 AT,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179,140,7.0,13.25,Mahindra
125,132,Maruti Ritz VXI,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197,85.80,5.0,5.81,Maruti
126,133,Maruti Alto K10,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,67.1,5.0,2.6,Maruti
127,134,Mercedes-Benz SLC 43,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996,362.07,2.0,54.0,Mercedes-Benz
128,135,Hyundai Verna VTVT,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591,121.3,5.0,11.5,Hyundai
129,136,Maruti Alto LXi,Chennai,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5.0,1.6,Maruti
130,137,BMW 1 Series,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995,143,5.0,17.22,BMW
131,138,Honda Jazz 1.2,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199,88.7,5.0,6.0,Honda
132,139,Honda Civic 2006-2010,Delhi,2012,88578,Petrol,Manual,First,13.5,1799,130,5.0,3.95,Honda
133,140,Mercedes-Benz New C-Class,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143,170,5.0,17.95,Mercedes-Benz
134,141,Honda Amaze SX,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5.0,3.7,Honda
135,142,Maruti Swift VVT,Kochi,2016,34204,Petrol,Manual,First,22.0,1197,81.80,5.0,5.43,Maruti
136,144,Toyota Fortuner 3.0,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982,171,7.0,13.49,Toyota
137,145,Chevrolet Beat LT,Pune,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5.0,2.85,Chevrolet
138,146,Skoda Rapid 1.5,Chennai,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5.0,4.75,Skoda
139,147,Maruti Ciaz 1.4,Kochi,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5.0,9.9,Maruti
140,148,Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894,444,4.0,37.0,Audi
141,149,BMW 3 Series,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,190,5.0,26.5,BMW
142,150,Audi A4 2.0,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5.0,23.32,Audi
143,151,Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9,1248,74,5.0,6.25,Maruti
144,152,Mercedes-Benz S Class,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5.0,30.0,Mercedes-Benz
145,153,Skoda Rapid 1.5,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5.0,9.86,Skoda
146,154,Skoda Superb Elegance,Pune,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5.0,8.5,Skoda
147,155,Hyundai EON Magna,Kochi,2019,14322,Petrol,Manual,First,21.1,814,55.2,5.0,4.23,Hyundai
148,156,Volkswagen Polo Diesel,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5.0,3.5,Volkswagen
149,157,Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5.0,2.5,Datsun
150,158,Honda Brio S,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5.0,2.39,Honda
151,159,Mercedes-Benz B Class,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5.0,11.25,Mercedes-Benz
152,160,Honda City i,Kochi,2015,42831,Diesel,Manual,First,26.0,1498,98.6,5.0,7.11,Honda
153,161,Toyota Innova 2.5,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7.0,10.9,Toyota
154,162,Maruti Swift VXI,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197,81.80,5.0,6.2,Maruti
155,163,Mahindra XUV500 W8,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179,140,7.0,7.9,Mahindra
156,164,Ford Ecosport 1.5,Kochi,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5.0,4.42,Ford
157,165,Toyota Fortuner 4x2,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982,168.5,7.0,13.5,Toyota
158,166,Volkswagen Vento 1.5,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5.0,6.25,Volkswagen
159,167,Ford Figo Diesel,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399,68,5.0,2.1,Ford
160,168,BMW X5 xDrive,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993,258,5.0,45.0,BMW
161,169,Mercedes-Benz New C-Class,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5.0,33.66,Mercedes-Benz
162,170,Honda Brio V,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5.0,3.65,Honda
163,171,Hyundai i10 Magna,Delhi,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.75,Hyundai
164,172,Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143,170,5.0,42.5,Mercedes-Benz
165,173,Hyundai Grand i10,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5.0,6.5,Hyundai
166,174,Audi A6 2011-2015,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5.0,19.0,Audi
167,175,Volkswagen Vento Petrol,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5.0,4.45,Volkswagen
168,176,Mini Countryman Cooper,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998,112,5.0,23.0,Mini
169,177,Hyundai i20 Asta,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396,88.73,5.0,8.35,Hyundai
170,178,Audi A6 2011-2015,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5.0,22.95,Audi
171,179,Chevrolet Beat Diesel,Jaipur,2012,88000,Diesel,Manual,First,25.44,936,57.6,5.0,1.5,Chevrolet
172,180,Skoda Superb Elegance,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5.0,6.89,Skoda
173,181,Ford Fiesta 1.4,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399,68,5.0,1.45,Ford
174,182,BMW 5 Series,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995,190,5.0,33.5,BMW
175,183,Chevrolet Optra Magnum,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598,102.5,5.0,1.25,Chevrolet
176,184,Volkswagen Polo Diesel,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199,73.9,5.0,4.2,Volkswagen
177,185,Renault Lodgy 110PS,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461,108.5,8.0,6.75,Renault
178,186,Mercedes-Benz E-Class E250,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143,201.1,5.0,32.0,Mercedes-Benz
179,187,Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5.0,7.5,Maruti
180,188,Hyundai Verna 1.6,Delhi,2012,62000,Diesel,Manual,First,22.32,1582,126.32,5.0,4.6,Hyundai
181,189,Hyundai i10 Magna,Kochi,2017,52340,Petrol,Manual,First,19.81,1086,68.05,5.0,4.04,Hyundai
182,190,Mahindra Scorpio 1.99,Kochi,2016,56739,Diesel,Manual,First,15.4,1997,120,7.0,10.31,Mahindra
183,191,Land Rover Range,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5.0,55.76,Land
184,192,Ford Figo Diesel,Chennai,2010,120000,Diesel,Manual,First,20.0,1399,68,5.0,2.6,Ford
185,193,Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248,88.50,7.0,8.5,Maruti
187,195,Honda Amaze S,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.5,Honda
188,196,Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197,78.9,5.0,3.55,Hyundai
189,197,Honda Amaze S,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.25,Honda
190,198,Skoda Laura Ambiente,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896,106,5.0,4.5,Skoda
191,199,Renault Duster 85PS,Delhi,2014,90000,Diesel,Manual,First,19.87,1461,83.8,5.0,5.35,Renault
192,200,Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493,100,7.0,6.5,Mahindra
193,201,Maruti Vitara Brezza,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5.0,9.0,Maruti
194,202,Hyundai i20 Asta,Kochi,2016,61012,Petrol,Manual,First,18.6,1197,81.83,5.0,6.0,Hyundai
195,203,Skoda Fabia 1.4,Jaipur,2009,87459,Petrol,Manual,First,14.7,1390,85,5.0,2.75,Skoda
196,204,Tata Indigo eCS,Pune,2010,70500,Petrol,Manual,First,15.64,1193,64.1,5.0,1.5,Tata
197,205,Audi Q3 2012-2015,Delhi,2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5.0,19.9,Audi
198,206,Skoda Octavia Elegance,Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798,177.5,5.0,10.0,Skoda
199,207,Toyota Etios Liva,Delhi,2014,104000,Diesel,Manual,First,23.59,1364,67.06,5.0,3.0,Toyota
201,209,Mercedes-Benz B Class,Kochi,2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5.0,11.96,Mercedes-Benz
202,210,Honda Amaze S,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5.0,3.25,Honda
203,211,Hyundai Verna 1.6,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582,126.32,5.0,4.75,Hyundai
204,212,Renault Duster 85PS,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461,83.8,5.0,5.95,Renault
205,213,Hyundai Creta 1.6,Delhi,2015,27057,Petrol,Manual,Second,15.29,1591,121.3,5.0,8.15,Hyundai
206,214,Maruti Wagon R,Mumbai,2016,8500,Petrol,Automatic,First,20.51,998,67,5.0,4.22,Maruti
207,215,Mercedes-Benz New C-Class,Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796,186,5.0,10.5,Mercedes-Benz
208,216,Audi A8 L,Delhi,2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5.0,45.0,Audi
209,217,Hyundai i10 Magna,Pune,2012,44000,Petrol,Manual,Second,19.81,1086,68.05,5.0,2.9,Hyundai
210,218,Skoda Rapid 1.6,Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598,103.52,5.0,8.9,Skoda
211,219,Skoda Superb Style,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5.0,26.0,Skoda
212,220,Hyundai i20 Active,Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197,81.86,5.0,8.22,Hyundai
213,221,Honda Amaze VX,Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498,98.6,5.0,3.5,Honda
214,222,Maruti Wagon R,Chennai,2004,61000,Petrol,Manual,Second,18.9,998,67.1,5.0,1.25,Maruti
215,223,Mahindra Verito 1.5,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461,65,5.0,3.7,Mahindra
216,224,Mercedes-Benz New C-Class,Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143,167.62,5.0,39.41,Mercedes-Benz
217,225,Maruti Wagon R,Kolkata,2013,32000,Petrol,Manual,First,22.5,998,67.04,5.0,2.65,Maruti
218,226,Nissan Terrano XV,Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461,108.5,5.0,8.92,Nissan
219,228,Mini Cooper Convertible,Kochi,2017,26327,Petrol,Automatic,First,16.82,1998,189.08,4.0,35.67,Mini
221,230,Tata Indica V2,Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396,53.5,5.0,0.85,Tata
222,231,Chevrolet Beat LT,Kochi,2016,60813,Petrol,Manual,Second,18.6,1199,76.8,5.0,3.32,Chevrolet
